pot_num,shape,train_energy_rmse,train_energy_atom_rmse,train_forces_rmse,val_energy_rmse,val_energy_atom_rmse,val_forces_rmse,train_time
1,[[1], [4], [2]],0.7335886630471575,0.022924645720223673,0.5440469211739734,0.6381686321823455,0.019942769755698298,0.7646858583684065,45.712794637307525
2,[[1], [4], [2]],0.7335886630471503,0.022924645720223447,0.5440469211739728,0.6381686321823763,0.01994276975569926,0.764685858368412,41.52236322313547
3,[[1], [4], [2]],0.7335886633109564,0.022924645728467388,0.5440469211622962,0.6381686318814298,0.01994276974629468,0.7646858583782177,39.61096007190645
4,[[1], [4], [2]],0.7335886630500854,0.02292464572031517,0.5440469211738415,0.6381686321829828,0.019942769755718213,0.7646858583671319,51.314101841300726
5,[[1], [4], [2]],0.7335886630471572,0.022924645720223662,0.5440469211739735,0.6381686321823534,0.019942769755698544,0.7646858583684054,35.8123872037977
1,[[1], [6], [3]],0.27565585856708164,0.008614245580221301,0.19173623158898695,0.4439838823158646,0.013874496322370769,0.2771154613996937,50.61360749602318
2,[[1], [6], [3]],0.2756558585535247,0.008614245579797647,0.19173623158978415,0.44398388229832003,0.013874496321822501,0.2771154614063061,84.21867965720594
3,[[1], [6], [3]],0.2756558585518138,0.008614245579744181,0.19173623158983963,0.44398388229887964,0.013874496321839989,0.27711546140713156,43.90288773737848
4,[[1], [6], [3]],0.2756558585887964,0.008614245580899887,0.19173623158731698,0.44398388231719843,0.013874496322412451,0.27711546141471044,48.136925261467695
5,[[1], [6], [3]],0.27565585855417685,0.008614245579818026,0.19173623158975348,0.4439838822966325,0.013874496321769765,0.27711546140494064,63.064538799226284
1,[[1], [8], [4]],0.21599538251340494,0.0067498557035439045,0.12057278161872112,0.4026695891579252,0.012583424661185163,0.16411905032806037,86.8038534950465
2,[[1], [8], [4]],0.21599538252849826,0.006749855704015571,0.12057278161762963,0.40266958918921764,0.012583424662163051,0.16411905032746513,77.05975006707013
3,[[1], [8], [4]],0.21599538252032932,0.006749855703760291,0.12057278161840874,0.40266958915589607,0.012583424661121752,0.16411905032812305,69.04864566400647
4,[[1], [8], [4]],0.21599538251489928,0.006749855703590602,0.12057278161866405,0.4026695891653547,0.012583424661417335,0.16411905032796084,56.991485457867384
5,[[1], [8], [4]],0.21599538321876513,0.00674985572558641,0.12057278159407249,0.40266959457796486,0.012583424830561402,0.16411905062201024,75.21566574461758
