interval,pot_num,train_energy_rmse,train_energy_atom_rmse,train_forces_rmse,val_energy_rmse,val_energy_atom_rmse,val_forces_rmse,train_time,nit,success,final_loss
[-0.0001, 0.0001],1,0.035504606062193605,0.0011095189394435502,0.031567584916766096,0.07488853786739164,0.0023402668083559886,0.056985416425312636,350.07561403140426,500,0,0.1359324650172466
[-0.0001, 0.0001],2,0.04251829517219155,0.001328696724130986,0.03665110817373076,0.08589330503146235,0.0026841657822331984,0.06330838386919206,336.85426880419254,500,0,0.19169817447667586
[-0.0001, 0.0001],3,0.041108764318079236,0.0012846488849399761,0.033770392744517604,0.08258680327823713,0.0025808376024449103,0.05987270947707066,316.0276559814811,500,0,0.17783724591952263
[-0.0001, 0.0001],4,0.03909664195747638,0.0012217700611711368,0.03278638070214657,0.07848076380156921,0.0024525238687990378,0.061200982029440465,329.3841303177178,500,0,0.15932575446363686
[-0.0001, 0.0001],5,0.04227893641283249,0.0013212167629010152,0.03686833731694483,0.08135714381100824,0.0025424107440940075,0.062196718147462214,323.15132817812264,500,0,0.2504753658601294
[-0.001, 0.001],1,0.03935308382378403,0.001229783869493251,0.03401209540929164,0.07962136709319194,0.002488167721662248,0.059005074166004666,322.2836057152599,500,0,0.15060319274395148
[-0.001, 0.001],2,0.04411065812457803,0.0013784580663930635,0.037126050798579634,0.08790759741517504,0.00274711241922422,0.06547754747846853,321.26240700669587,500,0,0.2306435319450994
[-0.001, 0.001],3,0.040098432963817314,0.001253076030119291,0.03459080216865747,0.08768145971102444,0.0027400456159695137,0.05973648982907554,323.79964938387275,500,0,0.1745714764385124
[-0.001, 0.001],4,0.037815061631616353,0.001181720675988011,0.0328768576740707,0.07333728546620231,0.0022917901708188223,0.0570124966388359,325.768578870222,500,0,0.19591290299623326
[-0.001, 0.001],5,0.040450415687978615,0.0012640754902493317,0.03468008982219991,0.07978212830493706,0.002493191509529283,0.060220327889639755,323.7311906795949,500,0,0.21528156010001914
[-0.01, 0.01],1,0.05102830886496479,0.0015946346520301496,0.04401051601921875,0.09906110862350807,0.0030956596444846273,0.0731556486094411,322.0477981362492,500,0,0.3508143426253983
[-0.01, 0.01],2,0.04813080206701815,0.0015040875645943171,0.03899585553280023,0.09378641391471892,0.0029308254348349664,0.06781587150050389,326.18919465504587,500,0,0.2692085333881799
[-0.01, 0.01],3,0.04665337251701977,0.001457917891156868,0.03929606430769727,0.08136866526819651,0.002542770789631141,0.06676881224286528,374.6938539221883,500,0,0.27636498854900177
[-0.01, 0.01],4,0.04968616405507804,0.0015526926267211887,0.04178831659733212,0.0939289333415674,0.0029352791669239814,0.07341673806969462,333.81045351549983,500,0,0.30082511772460063
[-0.01, 0.01],5,0.0442559530697273,0.0013829985334289782,0.03588036321640331,0.08694665574410851,0.002717082992003391,0.06455734431730441,322.6246601380408,500,0,0.202813626633455
[-0.1, 0.1],1,0.048971799062400206,0.0015303687207000065,0.04170121978245861,0.0888597789294176,0.0027768680915443,0.07242979040379709,327.2211039979011,500,0,0.1792311836375411
[-0.1, 0.1],2,0.04379720509845627,0.0013686626593267584,0.03891307201909524,0.09070356602600717,0.002834486438312724,0.06961794301004325,327.8548947516829,500,0,0.21010933329693762
[-0.1, 0.1],3,0.04382672419239182,0.0013695851310122444,0.03664058711662205,0.08670078353552757,0.0027093994854852366,0.06301421445588708,335.50151894427836,500,0,0.19572245021592377
[-0.1, 0.1],4,0.045151483124184336,0.0014109838476307605,0.03880537709912087,0.08903436800776669,0.002782324000242709,0.0679856962577034,340.5513325035572,500,0,0.24394304458657898
[-0.1, 0.1],5,0.04857071247240577,0.0015178347647626803,0.04181841625621284,0.09471641337303192,0.0029598879179072476,0.07467093505000862,347.8673193641007,500,0,0.2695773928347074
[-1, 1],1,136.51106062628278,4.265970644571337,92.0757046407607,148.6733026689859,4.64604070840581,144.85557164077454,321.8580320440233,500,0,14.09115790400189
[-1, 1],2,0.3997747713480141,0.01249296160462544,0.339652683950685,0.6711047492014706,0.020972023412545955,0.7915953597947835,564.8291342444718,500,0,0.9137105297755264
[-1, 1],3,0.16380564306814294,0.005118926345879467,0.14956164010332704,0.29507171516039793,0.009220991098762435,0.2928111446881508,392.594320949167,500,0,1.721146325069461
[-1, 1],4,0.5724846052395356,0.017890143913735487,0.4072980663313473,1.2676402275605334,0.03961375711126667,0.7399551399616959,345.485147645697,500,0,68.39570417968399
[-1, 1],5,0.4730859550067074,0.014783936093959607,0.3953664288335976,0.8132137380393619,0.02541292931373006,0.6814728574148049,348.41697218827903,500,0,16.2543003369039
